,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
117,0.79500002,OMN,NorthAfrica,26158.73,3.717000007629395,1.8999999761581419,3.535049200057983,4.960380077362061,94.32984161376952
3,0.85699999,AND,WesternDem,32367.33,,,,2.997809886932373,
185,0.51899999,TZA,SubSaharian,1416.3,43.88000106811523,7.0,3.0042104721069336,3.479140043258667,
14,0.79400003,BRB,Caribbean,22888.971,0.2790000140666962,5.400000095367432,5.0402259826660165,6.573299884796143,99.42874908447266
27,0.79799998,BLR,EastEurope,17780.641,9.468000411987305,3.4000000953674316,,4.990439891815186,99.46544647216795
9,0.89200002,AUT,WesternDem,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
146,0.73500001,LCA,Caribbean,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
67,0.86500001,GRC,WesternDem,25295.27,10.927000045776369,3.7999999523162837,2.999258995056152,,95.0673828125
80,0.92000002,IRL,WesternDem,46422.07,4.620999813079834,2.799999952316284,5.434197425842285,5.324570178985597,99.57335662841795
142,0.79799998,ROU,EastEurope,14563.14,19.95299911499023,4.5,3.833498477935791,3.1291799545288086,83.92993927001953
71,0.63800001,GUY,Caribbean,2042.8199,0.7559999823570251,9.100000381469727,3.933674573898315,3.19215989112854,82.4810562133789
1,0.76200002,ALB,EastEurope,8516.7002,,7.0999999046325675,4.111338615417481,3.539439916610718,85.27821350097656
79,0.64899999,IRQ,NorthAfrica,4178.2598,32.57799911499023,8.100000381469728,,,
53,0.58200002,GNQ,SubSaharian,15412.43,,6.0,,,
105,0.70099998,MDV,SouthAsia,13349.76,0.335999995470047,5.599999904632568,,4.1469597816467285,
104,0.787,MYS,SouthEastAsia,12284.27,30.70899963378906,4.5,5.258416175842285,5.195930004119873,67.99771881103516
5,0.78399998,ATG,Caribbean,12257.71,,7.300000190734862,,,79.73143768310547
72,0.49000001,HTI,LatAm,1024.9399,,9.300000190734863,2.325876951217651,,
93,0.58200002,LAO,SouthEastAsia,2926.77,6.8979997634887695,7.4000000953674325,3.834710359573364,3.320110082626343,50.828941345214844
108,0.51300001,MRT,SubSaharian,2223.01,3.36899995803833,6.300000190734862,2.6716678142547607,2.9301199913024902,23.10231971740723
163,0.42100000000000004,SSD,SubSaharian,,,6.9000000953674325,,1.7129700183868408,
83,0.46599999,CIV,SubSaharian,1354.29,22.52400016784668,6.699999809265138,3.562078714370728,4.729380130767822,
119,,NRU,Pacific,3130.47,0.0120000001043081,,,,71.94534301757812
19,0.69800001,BWA,SubSaharian,12770.73,,5.099999904632568,3.523580312728882,,
38,0.72399998,COL,LatAm,8761.1396,47.6619987487793,6.699999809265138,3.405907869338989,4.659409999847412,78.58606719970703
17,0.6709999999999999,BOL,LatAm,4023.8701,10.07800006866455,6.4000000953674325,3.348756313323975,7.285459995269775,76.53546142578125
112,0.73299998,MNG,EastAsia,6277.8999,2.881999969482422,3.0999999046325684,2.909875631332398,4.599870204925537,
66,0.58600003,KIR,Pacific,1532.65,0.1070000007748604,,,,
58,0.89300001,FIN,WesternDem,36958.211,5.427000045776367,2.299999952316284,5.859115123748778,7.168099880218506,94.00318145751952
85,0.90200001,JPN,EastAsia,36123.77,127.12000274658199,2.5999999046325684,4.430102348327637,3.591840028762817,99.04267120361328
63,0.44999999,GMB,SubSaharian,1601.88,,7.699999809265138,4.276580810546875,2.767709970474243,
75,0.91900003,ISL,WesternDem,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
128,0.63700002,FSM,Pacific,2624.05,0.1019999980926514,9.0,,12.46774959564209,
106,0.43799999,MLI,SubSaharian,1063.26,14.854000091552729,8.399999618530272,3.003276109695435,3.7392899990081787,34.616100311279304
183,0.68800002,EGY,NorthAfrica,5598.2598,86.69999694824219,4.699999809265137,2.187044858932495,,81.85820770263672
137,0.852,POL,EastEurope,19990.939,38.01800155639648,4.400000095367432,3.566189289093018,4.911749839782715,92.548828125
180,0.48800001,UGA,SubSaharian,1343.45,37.599998474121094,7.300000190734862,3.571631669998169,2.213870048522949,
167,0.90899998,SWE,WesternDem,39000.91,9.645000457763672,1.5,4.577005863189697,7.675089836120606,96.65155792236328
100,0.84600002,LTU,EastEurope,17559.75,2.931999921798706,4.199999809265137,3.930860996246338,4.612500190734863,96.36762237548828
61,0.69400001,GAB,SubSaharian,14525.28,,5.5,2.875664710998535,2.666169881820679,
111,,MCO,WesternDem,108481.13,,,,1.0219500064849851,
131,0.54799998,PAK,SouthAsia,2855.55,186.19000244140634,7.0,3.3811123371124268,2.464349985122681,41.17535018920898
